Transcript/RepeatID (cmd=analyzeRepeats.pl rna hg19 -count pausing -condenseGenes -norm 1e6 -d /research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/)	chr	start	end	strand	Length	Copies	Annotation/Divergence	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ Pausing Ratio	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ Promoter Reads (-50,200)	/research/fangyitong/Project2022/wj_dpnIdpnII/GEOdata_newRNA/rawdata/tagdir/ GeneBody Reads (200,5000)
NR_125777	chr2	219217689	219222739	-	250.0	1	CATIP-AS2|-|-|2q35|ncRNA	0.923	0.000	0.211
NM_198427	chr1	156611859	156616909	+	250.0	1	BCAN|BEHAB|CSPG7|-|1q23.1|protein-coding	0.923	0.000	0.211
NR_003571	chr15	44165369	44170419	-	250.0	1	PIN4P1|-|-|15q15.3|pseudo	0.502	0.105	6.536
NM_004657	chr2	192706814	192711864	-	250.0	1	CAVIN2|PS-p68|SDPR|SDR|cavin-2|-|2q32.3|protein-coding	1.000	0.000	0.000
NM_018159	chrX	51234444	51239494	-	250.0	1	NUDT11|APS1|ASP1|DIPP3b|DIPP3beta|hDIPP3beta|-|Xp11.22|protein-coding	4.920	0.949	1.687
NR_029661	chr12	62997416	63002466	+	250.0	1	MIRLET7I|LET7I|MIRNLET7I|hsa-let-7i|let-7i|-|12q14.1|ncRNA	5.362	2.636	7.379
NR_003928	chr1	111823096	111828146	+	250.0	1	CHIAP2|-|-|1p13.2|pseudo	1.000	0.000	0.000
NM_001144958	chr12	3857275	3862325	-	250.0	1	CRACR2A|EFCAB4B|-|12p13.32|protein-coding	5.964	0.949	0.949
NR_003351	chr15	25434511	25439561	+	250.0	4	SNORD115-36|HBII-52-36|-|15q11.2|snoRNA	1.000	0.000	0.000
NM_033440	chr1	15783177	15788227	+	250.0	1	CELA2A|ELA2A|PE-1|-|1p36.21|protein-coding	0.571	0.000	1.898
NM_057168	chr7	120969004	120974054	+	250.0	1	WNT16|-|-|7q31.31|protein-coding	0.960	0.000	0.105
NM_001367447	chr10	25007816	25012866	-	250.0	1	ARHGAP21|ARHGAP10|-|10p12.1|10p12.3|protein-coding	7.129	2.530	4.639
NM_005477	chr15	73656299	73661349	-	250.0	1	HCN4|SSS2|-|15q24.1|protein-coding	0.750	0.000	0.843
NM_019589	chr14	75229969	75235019	+	250.0	1	YLPM1|C14orf170|PPP1R169|ZAP113|ZAP3|-|14q24.3|protein-coding	7.012	3.795	8.223
NR_125984	chr1	212453363	212458413	-	250.0	1	LINC02608|-|-|1q32.3|ncRNA	4.659	0.738	1.054
NM_001024611	chr4	52881529	52886579	-	250.0	1	LRRC66|-|-|4q12|protein-coding	0.706	0.000	1.054
NM_024114	chr11	55029581	55034631	+	250.0	1	TRIM48|RNF101|-|11q11|protein-coding	1.000	0.000	0.000
NM_032701	chr19	55851194	55856244	+	250.0	1	KMT5C|SUV420H2|Suv4-20h2|-|19q13.42|protein-coding	2.703	1.160	6.641
NM_022166	chr16	17559817	17564867	-	250.0	1	XYLT1|DBQD2|PXYLT1|XT-I|XT1|XTI|XYLTI|xylT-I|-|16p12.3|protein-coding	1.440	0.105	0.633
NR_030342	chr11	61555033	61560083	-	250.0	1	MIR611|MIRN611|hsa-mir-611|-|11q12.2|ncRNA	2.716	3.268	21.506
NM_004888	chr9	117349999	117355049	+	250.0	1	ATP6V1G1|ATP6G|ATP6G1|ATP6GL|ATP6J|Vma10|-|9q32|protein-coding	8.790	3.584	5.587
NM_001093725	chr1	156047256	156052306	-	250.0	1	MEX3A|MEX-3A|RKHD4|RNF162|-|1q22|protein-coding	5.137	1.476	3.479
NR_104193	chr20	14534980	14540030	+	250.0	1	MACROD2-IT1|C20orf68|NCRNA00227|bA467D7.4|-|20p12.1|ncRNA	0.960	0.000	0.105
NM_001170881	chr11	64052265	64057315	+	250.0	1	GPR137|C11orf4|GPR137A|TM7SF1L1|-|11q13.1|protein-coding	3.600	3.584	17.289
NR_031670	chr15	52564397	52569447	-	250.0	1	MIR1266|MIRN1266|hsa-mir-1266|mir-1266|-|15q21.2|ncRNA	0.632	0.000	1.476
NR_047462	chr5	101917022	101922072	+	250.0	1	LINC00492|-|-|5q21.1|ncRNA	2.013	0.211	0.738
NR_134657	chr4	55468298	55473348	-	250.0	1	LINC02260|-|-|4q12|ncRNA	0.649	0.000	1.370
NM_138494	chr7	99156215	99161265	+	250.0	1	ZNF655|VIK|VIK-1|-|7q22.1|protein-coding	2.448	1.898	13.388
NR_132992	chr2	60613510	60618560	-	250.0	1	MIR4432HG|-|-|2p16.1|ncRNA	1.000	0.000	0.000
NM_024814	chr7	107384537	107389587	+	250.0	1	CBLL1|HAKAI|RNF188|-|7q22.3|protein-coding	3.578	0.949	3.268
NR_002936	chr6	28181707	28186757	-	250.0	1	TOB2P1|TOB2P|TOB4p|p373c6.3|-|6p22.1|pseudo	2.191	0.422	2.319
NR_026769	chr4	74916116	74921166	-	250.0	1	PPBPP2|PPBPL2|SPBPBP|-|4q13.3|pseudo	1.000	0.000	0.000
NR_002982	chr11	2980123	2985173	-	250.0	1	SNORA54|ACA54|-|11p15.4|snoRNA	32.721	23.403	11.280
NR_024004	chr2	114356294	114361344	-	250.0	1	DDX11L2|-|-|2q14.1|pseudo	0.889	0.000	0.316
NM_004188	chr9	135820882	135825932	+	250.0	1	GFI1B|BDPLT17|ZNF163B|-|9q34.13|protein-coding	1.000	0.000	0.000
NM_182531	chr16	89284061	89289111	+	250.0	1	ZNF778|-|-|16q24.3|protein-coding	4.463	1.265	3.479
NM_138809	chr5	10303014	10308064	-	250.0	1	CMBL|JS-1|-|5p15.2|protein-coding	2.667	0.527	2.214
NM_170697	chr15	58301221	58306271	-	250.0	1	ALDH1A2|RALDH(II)|RALDH2|RALDH2-T|-|15q21.3|protein-coding	2.400	0.316	1.054
NM_001321399	chr17	35732877	35737927	+	250.0	1	C17orf78|-|-|17q12|protein-coding	0.750	0.000	0.843
NM_199162	chr13	114098473	114103523	-	250.0	1	ADPRHL1|ARH2|-|13q34|protein-coding	4.659	0.738	1.054
NM_031936	chr1	110082444	110087494	+	250.0	1	GPR61|BALGR|GPCR3|-|1p13.3|protein-coding	0.828	0.000	0.527
NM_015069	chr16	49851649	49856699	-	250.0	1	ZNF423|Ebfaz|JBTS19|NPHP14|OAZ|Roaz|ZFP423|Zfp104|hOAZ|-|16q12.1|protein-coding	1.394	0.105	0.738
NM_130772	chr5	76145789	76150839	+	250.0	1	S100Z|Gm625|S100-zeta|-|5q13.3|protein-coding	1.800	0.105	0.000
NM_017821	chr1	39402502	39407552	-	250.0	1	RHBDL2|RRP2|-|1p34.3|protein-coding	0.828	0.000	0.527
NM_001099408	chr5	176057626	176062676	+	250.0	1	EIF4E1B|-|-|5q35.2|protein-coding	1.600	0.105	0.316
NM_018143	chr17	40016676	40021726	-	250.0	1	KLHL11|-|-|17q21.2|protein-coding	9.296	3.901	5.798
NM_032135	chr14	44971486	44976536	-	250.0	1	FSCB|C14orf155|-|14q21.2|protein-coding	1.000	0.000	0.000
NM_144622	chr1	155001257	155006307	-	250.0	1	DCST2|-|-|1q21.3|protein-coding	0.960	0.000	0.105
NR_120641	chr10	54225293	54230343	-	250.0	1	LNCAROD|A-ROD|LINC01468|lnc-MBL2-4|-|10q21.1|ncRNA	1.000	0.000	0.000
NM_180990	chr17	74075213	74080263	+	250.0	1	ZACN|L2|LGICZ|LGICZ1|ZAC|ZAC1|-|17q25.1|protein-coding	0.160	0.105	25.933
NR_029857	chr4	113564713	113569763	-	250.0	1	MIR302B|MIRN302B|mir-302b|-|4q25|ncRNA	0.982	0.105	2.108
NR_046774	chr21	41997693	42002743	-	250.0	1	DSCAM-IT1|zag4|-|21q22.2|ncRNA	1.000	0.000	0.000
NR_105014	chr5	77651365	77656415	-	250.0	1	SCAMP1-AS1|-|-|5q14.1|ncRNA	2.732	0.843	4.322
NM_001079809	chr3	149696153	149701203	-	250.0	1	TMEM183B|C1ORF37DUP|C1orf37-DUP|-|3q25.1|protein-coding	1.271	0.105	1.054
NM_001204062	chr10	22605262	22610312	+	250.0	1	COMMD3-BMI1|BMI1|PCGF4|RNF51|-|10p12.2|protein-coding	2.158	1.160	8.961
NM_001013641	chr1	16068944	16073994	+	250.0	1	TMEM82|-|-|1p36.21|protein-coding	0.960	0.000	0.105
NM_053035	chr7	140709752	140714802	-	250.0	1	MRPS33|CGI-139|MRP-S33|PTD003|S33mt|-|7q34|protein-coding	7.810	5.271	10.753
NM_016932	chr2	45231591	45236641	-	250.0	1	SIX2|-|-|2p21|protein-coding	2.880	1.054	5.376
NM_001168364	chr2	27665183	27670233	+	250.0	1	KRTCAP3|KCP3|-|2p23.3|protein-coding	1.440	0.422	4.849
NM_017422	chr10	5536533	5541583	-	250.0	1	CALML5|CLSP|-|10p15.1|protein-coding	1.000	0.000	0.000
NM_021954	chr13	20730191	20735241	-	250.0	1	GJA3|CTRCT14|CX46|CZP3|-|13q12.11|protein-coding	2.013	0.211	0.738
NR_120379	chr15	84977167	84982217	+	250.0	1	LOC103171574|-|-|15q25.2|ncRNA	1.000	0.000	0.000
NM_001008215	chr2	99219975	99225025	-	250.0	1	COA5|6330578E17Rik|C2orf64|CEMCOX3|Pet191|-|2q11.2|protein-coding	4.710	2.636	8.750
NM_173615	chr16	22103812	22108862	+	250.0	1	VWA3A|-|-|16p12.2|protein-coding	0.750	0.000	0.843
NM_144582	chr2	71217003	71222053	-	250.0	1	TEX261|TEG-261|-|2p13.3|protein-coding	4.897	2.530	7.907
NM_002960	chr1	153516734	153521784	-	250.0	1	S100A3|S100E|-|1q21.3|protein-coding	0.706	0.000	1.054
NM_033261	chr10	1066799	1071849	-	250.0	1	IDI2|IPPI2|-|10p15.3|protein-coding	0.387	0.000	4.006
NM_002280	chr17	39632392	39637442	-	250.0	1	KRT35|HA5|Ha-5|K35|KRTHA5|hHa5|-|17q21.2|protein-coding	1.394	0.105	0.738
NR_003673	chr6	31676842	31681892	-	250.0	7	LY6G6E|C6orf22|G6e|-|6p21.33|pseudo	1.000	0.000	0.000
NM_001346432	chr11	27489322	27494372	-	250.0	1	LGR4|BNMD17|GPR48|-|11p14.1|protein-coding	6.017	2.214	4.955
NR_147121	chr3	46772917	46777967	-	250.0	1	PRSS46P|PRSS46|TESSP6|-|3p21.31|pseudo	0.923	0.000	0.211
NR_120559	chr11	112352905	112357955	+	250.0	1	LINC02763|-|-|11q23.1|ncRNA	1.000	0.000	0.000
NR_106834	chr17	2591213	2596263	-	250.0	1	MIR6776|hsa-mir-6776|-|17p13.3|ncRNA	0.546	0.633	24.352
NM_001161619	chr19	5786174	5791224	-	250.0	1	DUS3L|DUS3|-|19p13.3|protein-coding	3.338	3.479	18.238
NM_033274	chr5	156997783	157002833	-	250.0	1	ADAM19|FKSG34|MADDAM|MLTNB|-|5q33.3|protein-coding	2.600	0.211	0.000
NM_018843	chr7	87500675	87505725	-	250.0	1	SLC25A40|MCFP|-|7q21.12|protein-coding	3.482	0.843	2.846
NM_001171091	chr19	4450298	4455348	-	250.0	1	UBXN6|UBXD1|UBXDC2|-|19p13.3|protein-coding	1.029	0.422	7.801
NM_001284251	chr22	24946903	24951953	-	250.0	1	GUCD1|C22orf13|LLN4|-|22q11.23|protein-coding	3.029	1.581	8.328
NM_004161	chr2	65352240	65357290	-	250.0	1	RAB1A|RAB1|YPT1|-|2p14|protein-coding	15.796	4.639	3.268
NR_003024	chr7	109595270	109600320	-	250.0	1	EIF3IP1|RG208K23|-|7q31.1|pseudo	3.636	0.527	0.949
NR_109950	chr20	48932879	48937929	-	250.0	1	LINC01271|-|-|20q13.13|ncRNA	0.960	0.000	0.105
NR_134490	chr10	3876092	3881142	+	250.0	1	LINC02639|-|-|10p15.1|ncRNA	1.000	0.000	0.000
NM_001331028	chr5	49963198	49968248	+	250.0	1	PARP8|ARTD16|pART16|-|5q11.1|protein-coding	0.785	0.105	3.268
NM_001615	chr2	74120085	74125135	+	250.0	1	ACTG2|ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM|-|2p13.1|protein-coding	1.000	0.000	0.000
NR_027046	chr14	71954528	71959578	+	250.0	1	LOC145474|-|-|14q24.2|ncRNA	0.686	0.000	1.160
NM_199461	chr10	120789176	120794226	+	250.0	1	NANOS1|EC_Rep1a|NOS-1|NOS1|SPGF12|ZC2HC12A|-|10q26.11|protein-coding	0.633	0.316	11.069
NR_030412	chr19	46522140	46527190	+	250.0	1	MIR769|MIRN769|hsa-mir-769|mir-769|-|19q13.32|ncRNA	0.810	0.211	5.587
NM_005952	chr16	56716332	56721382	+	250.0	1	MT1X|MT-1l|MT1|-|16q13|protein-coding	19.680	5.271	2.741
NM_001012659	chr3	121286746	121291796	+	250.0	1	ARGFX|-|-|3q13.33|protein-coding	0.960	0.000	0.105
NM_001282131	chr17	28083450	28088500	-	250.0	1	SSH2|SSH-2|SSH-2L|-|17q11.2|protein-coding	1.902	0.422	3.057
NM_022827	chr17	48624485	48629535	+	250.0	1	SPATA20|HEL-S-98|SSP411|Tisp78|-|17q21.33|protein-coding	5.543	2.425	6.325
NM_001142281	chr11	118443052	118448102	+	250.0	1	ARCN1|COPD|SRMMD|-|11q23.3|protein-coding	9.164	4.849	7.907
NR_040254	chr21	24752156	24757206	-	250.0	1	D21S2088E|-|-|21q21.2|ncRNA	1.000	0.000	0.000
NR_110741	chr19	56578000	56583050	+	250.0	1	LINC01864|-|-|19q13.43|ncRNA	1.000	0.000	0.000
NM_022049	chr1	101003645	101008695	+	250.0	1	GPR88|COCPMR|STRG|-|1p21.2|protein-coding	0.828	0.000	0.527
NM_030934	chr1	185121085	185126135	-	250.0	1	TRMT1L|C1orf25|MST070|MSTP070|TRM1L|bG120K12.3|-|1q25.3|protein-coding	6.380	2.741	6.114
NM_021965	chr9	70971477	70976527	+	250.0	1	PGM5|PGMRP|-|9q21.11|protein-coding	1.000	0.000	0.000
NM_052957	chrX	70797824	70802874	+	250.0	1	GCNA|ACRC|NAAR1|-|Xq13.1|protein-coding	0.720	0.105	3.795
NR_034121	chr5	80592388	80597438	-	250.0	1	CKMT2-AS1|-|-|5q14.1|ncRNA	7.474	2.741	4.849
NM_015689	chr7	140335613	140340663	-	250.0	1	DENND2A|FAM31D|KIAA1277|-|7q34|protein-coding	1.813	0.316	2.214
NM_032352	chr14	36295494	36300544	+	250.0	1	BRMS1L|BRMS1|-|14q13.2|protein-coding	6.581	2.108	4.006
NM_012256	chr7	148936692	148941742	+	250.0	1	ZNF212|C2H2-150|ZNF182|ZNFC150|-|7q36.1|protein-coding	3.937	1.792	6.852
NM_001004717	chr14	20528154	20533204	+	250.0	1	OR4L1|OR14-28|OR4L2P|-|14q11.2|protein-coding	1.000	0.000	0.000
NM_004490	chr2	165472992	165478042	-	250.0	1	GRB14|-|-|2q24.3|protein-coding	1.855	0.316	2.108
NR_125978	chr1	33815903	33820953	+	250.0	1	LOC101929464|-|-|1p35.1|ncRNA	2.170	0.738	5.166
NM_052855	chr17	48780275	48785325	-	250.0	1	ANKRD40|-|-|17q21.33|protein-coding	1.532	1.054	12.334
NM_001353334	chr6_qbl_hap6	2968229	2973279	+	250.0	7	LY6G6F-LY6G6D|-|-|6p21|protein-coding	1.000	0.000	0.000
NM_033064	chr19	3880633	3885683	+	250.0	1	ATCAY|BNIP-H|CLAC|-|19p13.3|protein-coding	1.000	0.000	0.000
NM_032572	chr14	21510471	21515521	+	250.0	1	RNASE7|RAE1|-|14q11.2|protein-coding	0.960	0.000	0.105
NM_145232	chr19	51606666	51611716	-	250.0	1	CTU1|ATPBD3|NCS6|-|19q13.41|protein-coding	3.949	1.581	5.798
NM_012367	chr6	27924969	27930019	+	250.0	1	OR2B6|OR2B1|OR2B1P|OR2B5|OR2B6P|OR5-40|OR5-41|OR6-31|dJ408B20.2|-|6p22.1|protein-coding	0.889	0.000	0.316
NR_103767	chr22	19159169	19164219	+	250.0	1	LINC01311|-|-|22q11.21|ncRNA	1.730	3.373	36.370
NR_107037	chr11	11799769	11804819	-	250.0	1	MIR8070|hsa-mir-8070|-|11p15.3|ncRNA	0.960	0.000	0.105
NM_007209	chr9	127619236	127624286	-	250.0	1	RPL35|DBA19|L35|-|9q33.3|protein-coding	6.145	22.138	67.047
NM_001135863	chr12	31812572	31817622	+	250.0	1	ETFBKMT|C12orf72|ETFB-KMT|METTL20|-|12p11.21|protein-coding	2.965	0.422	1.054
NM_015529	chr6	132717614	132722664	-	250.0	1	MOXD1|MOX|PRO5780|dJ248E1.1|-|6q23.2|protein-coding	7.067	1.265	1.265
NM_003143	chr7	141438108	141443158	+	250.0	1	SSBP1|Mt-SSB|SOSS-B1|SSBP|mtSSB|-|7q34|protein-coding	8.310	7.169	14.337
NR_134874	chr11	63057325	63062375	+	250.0	1	SLC22A10|OAT5|hOAT5|-|11q12.3|protein-coding	1.000	0.000	0.000
NR_002206	chr7	74862641	74867691	+	250.0	2	GTF2IP1|WBSCR7|-|7q11.23|pseudo	13.248	1.687	0.105
NM_001003443	chr11	5968527	5973577	+	250.0	1	OR56A3|OR56A2P|OR56A3P|OR56A6|-|11p15.4|protein-coding	1.000	0.000	0.000
NR_028032	chr6	29942842	29947892	+	250.0	7	HCG9|HCGIX|HCGIX4|-|6p22.1|ncRNA	0.960	0.000	0.105
NM_033055	chr1	100503601	100508651	+	250.0	1	MFSD14A|HIAT1|-|1p21.2|protein-coding	6.566	3.690	8.644
NM_001098405	chrX	49296696	49301746	+	250.0	5	GAGE12F|AL4|CT4.7|GAGE-7|GAGE-7B|GAGE-8|GAGE7|GAGE7B|-|Xp11.23|protein-coding	1.000	0.000	0.000
NM_174890	chr10	46163220	46168270	-	250.0	1	ZFAND4|ANUBL1|-|10q11.22|protein-coding	2.449	0.527	2.636
NR_033848	chr10	127371762	127376812	+	250.0	1	LOC283038|-|-|10q26.13-q26.2|ncRNA	0.960	0.000	0.105
NM_052864	chr4	113202060	113207110	-	250.0	1	TIFA|T2BP|T6BP|TIFAA|-|4q25|protein-coding	3.859	0.949	2.846
NM_001145011	chr16	4606441	4611491	+	250.0	1	C16orf96|-|-|16p13.3|protein-coding	0.828	0.000	0.527
NR_036218	chr1	6484956	6490006	-	250.0	1	MIR4252|-|-|1p36.31|ncRNA	0.960	0.000	0.105
NM_014215	chr1	156823909	156828959	-	250.0	1	INSRR|IRR|-|1q23.1|protein-coding	0.828	0.000	0.527
NM_001321989	chr3	48880307	48885357	-	250.0	1	PRKAR2A|PKR2|PRKAR2|-|3p21.31|protein-coding	6.453	3.057	6.958
NM_001443	chr2	88422581	88427631	-	250.0	1	FABP1|FABPL|L-FABP|-|2p11.2|protein-coding	1.000	0.000	0.000
NR_047490	chr13	89279057	89284107	+	250.0	1	LINC00560|-|-|13q31.2|ncRNA	0.960	0.000	0.105
NM_002448	chr4	4861342	4866392	+	250.0	1	MSX1|ECTD3|HOX7|HYD1|STHAG1|-|4p16.2|protein-coding	1.889	0.843	7.379
NR_029955	chrX	114057967	114063017	+	250.0	1	MIR448|MIRN448|hsa-mir-448|miRNA448|-|Xq23|ncRNA	1.000	0.000	0.000
NM_001320044	chr3	47512431	47517481	-	250.0	1	SCAP|-|-|3p21.31|protein-coding	3.452	2.636	12.861
NM_007314	chr1	179193812	179198862	-	250.0	1	ABL2|ABLL|ARG|-|1q25.2|protein-coding	9.153	5.798	9.910
NR_003221	chr14	101455417	101460467	+	250.0	1	SNORD114-28|14q(II-28)|-|14q32.31|snoRNA	0.960	0.000	0.105
NM_020124	chr9	27524262	27529312	+	250.0	1	IFNK|IFNT1|INFE1|-|9p21.2|protein-coding	1.200	0.105	1.265
NR_029688	chr2	220153922	220158972	-	250.0	1	MIR153-1|MIRN153-1|mir-153-1|-|2q35|ncRNA	0.889	0.000	0.316
NM_003730	chr6	167365038	167370088	-	250.0	1	RNASET2|RNASE6PL|bA514O12.3|-|6q27|protein-coding	5.896	2.846	7.169
NR_038358	chr14	51800061	51805111	+	250.0	1	LINC00640|-|-|14q22.1|ncRNA	0.960	0.000	0.105
NM_003711	chr5	54825792	54830842	-	250.0	1	PLPP1|LLP1a|LPP1|PAP-2a|PAP2|PPAP2A|-|5q11.2|protein-coding	3.226	0.949	3.901
NR_125919	chr4	17182680	17187730	-	250.0	1	LINC02493|-|-|4p15.32|ncRNA	1.000	0.000	0.000
NM_152222	chr11	73087394	73092444	+	250.0	1	RELT|AI3C|TNFRSF19L|TRLT|-|11q13.4|protein-coding	6.587	3.268	7.379
NM_052936	chrX	107334958	107340008	+	250.0	1	ATG4A|APG4A|AUTL2|-|Xq22.3|protein-coding	4.554	0.843	1.581
NM_005267	chr1	147374871	147379921	+	250.0	1	GJA8|CAE|CAE1|CTRCT1|CX50|CZP1|MP70|-|1q21.2|protein-coding	0.960	0.000	0.105
NM_001037329	chr11	6260269	6265319	+	250.0	1	CNGA4|CNCA2|CNG-4|CNG4|CNG5|CNGB2|OCNC2|OCNCBETA|OCNCb|-|11p15.4|protein-coding	0.960	0.000	0.105
NM_001038493	chr2	172950185	172955235	+	250.0	1	DLX1|-|-|2q31.1|protein-coding	1.480	0.949	11.491
NR_038921	chr10	22540951	22546001	+	250.0	1	LOC100130992|-|-|10p12.31|ncRNA	1.000	0.000	0.000
NR_106763	chr21	40818886	40823936	+	250.0	1	MIR6508|hsa-mir-6508|-|21q22.2|ncRNA	1.733	0.211	1.265
NM_013974	chr6	31693040	31698090	-	250.0	7	DDAH2|DDAH|DDAHII|G6a|HEL-S-277|NG30|-|6p21.33|protein-coding	2.600	0.211	0.000
NM_015911	chr1	43312194	43317244	+	250.0	1	ZNF691|Zfp691|-|1p34.2|protein-coding	4.345	2.636	9.699
NR_039723	chr13	97079433	97084483	+	250.0	1	MIR4501|-|-|13q32.1|ncRNA	0.727	0.000	0.949
NM_005576	chr15	74218753	74223803	+	250.0	1	LOXL1|LOL|LOXL|-|15q24.1|protein-coding	2.460	0.949	5.904
NR_147506	chr22	45394500	45399550	-	250.0	1	LOC101927551|-|-|22q13.31|ncRNA	0.821	0.211	5.482
NR_120670	chr10	87192569	87197619	+	250.0	1	LOC101929662|-|-|10q23.1|ncRNA	1.000	0.000	0.000
NM_001172425	chr1	226124192	226129242	-	250.0	1	LEFTY2|EBAF|LEFTA|LEFTYA|TGFB4|-|1q42.12|protein-coding	0.923	0.000	0.211
NM_021033	chr13	98086373	98091423	+	250.0	1	RAP2A|K-REV|KREV|RAP2|RbBP-30|-|13q32.1|protein-coding	6.240	1.581	2.741
NM_198526	chr15	90544506	90549556	+	250.0	1	ZNF710|-|-|15q26.1|protein-coding	3.986	1.160	3.690
NR_147704	chr6	166511158	166516208	+	250.0	1	LOC729681|-|-|6q27|ncRNA	0.960	0.000	0.105
NM_001059	chr4	104636142	104641192	-	250.0	1	TACR3|HH11|NK-3R|NK3|NK3R|NKR|TAC3R|TAC3RL|-|4q24|protein-coding	1.000	0.000	0.000
NM_001348663	chr13	114462166	114467216	+	250.0	1	TMEM255B|FAM70B|-|13q34|protein-coding	1.728	0.105	0.105
NM_015469	chr9	107509914	107514964	+	250.0	1	NIPSNAP3A|HSPC299|NIPSNAP4|TASSC|-|9q31.1|protein-coding	4.800	1.160	2.636
NR_146499	chr4	28998356	29003406	+	250.0	1	LINC02364|-|-|4p15.1|ncRNA	1.000	0.000	0.000
NM_003217	chr12	50135290	50140340	+	250.0	1	TMBIM6|BAXI1|BI-1|TEGT|-|12q13.12|protein-coding	26.673	12.756	6.747
NR_109945	chr5	15610111	15615161	-	250.0	1	CTD-2350J17.1|-|-|5p15.1|ncRNA	0.960	0.000	0.105
NR_024381	chr22	19549362	19554412	-	250.0	1	LINC00895|-|-|22q11.21|ncRNA	1.000	0.000	0.000
NM_000845	chr7	126887995	126893045	-	250.0	1	GRM8|GLUR8|GPRC1H|MGLUR8|mGlu8|-|7q31.33|protein-coding	2.600	0.211	0.000
NM_006029	chr14	74176087	74181137	-	250.0	1	PNMA1|MA1|-|14q24.3|protein-coding	2.224	2.530	20.452
NM_001355194	chr19	19887333	19892383	+	250.0	1	ZNF56|ZNF742|-|19p13.11|protein-coding	3.857	1.054	3.373
NM_053283	chr12	55037149	55042199	-	250.0	1	DCD|AIDD|DCD-1|DSEP|HCAP|PIF|-|12q13.2|protein-coding	1.000	0.000	0.000
NR_024585	chr10	79686520	79691570	+	250.0	1	DLG5-AS1|-|-|10q22.3|ncRNA	3.429	0.527	1.160
NM_002944	chr6	117742018	117747068	-	250.0	1	ROS1|MCF3|ROS|c-ros-1|-|6q22.1|protein-coding	1.000	0.000	0.000
NM_024646	chr1	53192075	53197125	+	250.0	1	ZYG11B|ZYG11|-|1p32.3|protein-coding	2.501	0.843	4.955
NR_138419	chrX	62886382	62891432	-	250.0	1	ARHGEF9-IT1|-|-|Xq11.1|ncRNA	0.632	0.000	1.476
NR_034007	chr3	156835791	156840841	-	250.0	1	LINC00880|-|-|3q25.31|ncRNA	1.000	0.000	0.000
NR_134272	chr5	38148532	38153582	+	250.0	1	LINC02119|-|-|5p13.2|ncRNA	1.000	0.000	0.000
NR_029836	chr9	4850247	4855297	+	250.0	1	MIR101-2|MIRN101-2|mir-101-2|-|9p24.1|ncRNA	0.771	0.105	3.373
NR_033839	chr11	126220482	126225532	-	250.0	1	GSEC|DCPS-AS1|ST3GAL4-AS1|-|11q24.2|ncRNA	3.624	0.843	2.636
NM_001003702	chr7	143887791	143892841	-	250.0	1	ARHGEF35|ARHGEF5L|-|7q35|protein-coding	1.000	0.000	0.000
NM_001190787	chr5	54518143	54523193	-	250.0	1	MCIDAS|IDAS|MCI|MCIN|-|5q11.2|protein-coding	2.880	0.738	3.268
NR_110813	chr17	57599218	57604268	-	250.0	1	LINC01476|-|-|17q22-q23.1|ncRNA	1.000	0.000	0.000
NM_015380	chr22	44351272	44356322	+	250.0	1	SAMM50|CGI-51|OMP85|SAM50|TOB55|TRG-3|YNL026W|-|22q13.31|protein-coding	4.438	1.160	3.057
NM_152701	chr7	48211005	48216055	+	250.0	1	ABCA13|-|-|7p12.3|protein-coding	1.000	0.000	0.000
NM_013353	chr1	151143457	151148507	-	250.0	1	TMOD4|SK-TMOD|-|1q21.3|protein-coding	0.686	0.105	4.111
NR_135761	chr11	66115412	66120462	+	250.0	1	LOC102724064|-|-|11q13.2|ncRNA	290.464	239.094	13.283
NR_036069	chr1	241295522	241300572	+	250.0	1	MIR3123|mir-3123|-|1q43|ncRNA	0.889	0.000	0.316
NR_030394	chr17	79094173	79099223	-	250.0	1	MIR657|MIRN657|hsa-mir-657|-|17q25.3|ncRNA	0.632	0.000	1.476
NR_103535	chr1	78350224	78355274	-	250.0	1	NEXN-AS1|C1orf118|-|1p31.1|ncRNA	1.905	0.527	4.111
NR_128719	chr20	62551171	62556221	+	250.0	3	MIR941-5|-|-|20q13.33|ncRNA	0.074	0.000	31.732
NM_002439	chr5	79950421	79955471	+	250.0	1	MSH3|DUP|FAP4|MRP1|-|5q14.1|protein-coding	4.582	2.636	9.066
NM_174978	chr14	60947781	60952831	-	250.0	1	C14orf39|Six6os1|-|14q23.1|protein-coding	0.889	0.000	0.316
NR_034022	chr7	7131417	7136467	-	250.0	1	LOC100131257|-|-|7p22.1|pseudo	1.000	0.000	0.000
NM_001364461	chr10	124432348	124437398	+	250.0	1	LOC112577516|-|-|10q26.13|protein-coding	1.000	0.000	0.000
NM_006945	chr1	153008596	153013646	-	250.0	1	SPRR2D|-|-|1q21.3|protein-coding	1.000	0.000	0.000
NM_001288623	chr2	203731195	203736245	-	250.0	1	ICA1L|ALS2CR14|ALS2CR15|-|2q33.2|protein-coding	2.344	0.422	2.003
